Date,amount_in_usd,euro_price,rolling_avg
2021-03-01,49611.571197449375,59796.82676428573,60983.25986288021
2021-03-02,48500.72357412484,58336.67031495736,59614.35335596566
2021-03-03,50379.503545548505,60697.22587167684,58903.204308666864
2021-03-04,48372.152036112624,58211.047760257934,58734.65894616626
2021-03-05,48774.489196829236,58226.98520317474,58423.2043866327
2021-03-08,52402.09893015827,62180.3305905258,59083.04684449481
2021-03-09,54919.74944598506,65321.54999105463,60395.80521370472
2021-03-10,55875.761472289734,66447.45554284695,61345.895039213465
2021-03-11,57802.94451426763,69184.34428912692,62895.56274980912
2021-03-12,57232.049447359816,68295.00460553447,63980.95971178878
2021-03-15,55623.076377115976,66302.70704152224,65136.91103768368
2021-03-16,56916.05709501875,67878.08969151936,66515.64025030434
2021-03-17,58908.92465699068,70142.85658907882,67653.14396438333
2021-03-18,57642.073169206975,68663.23755915934,68130.52790268401
2021-03-19,58045.14273401708,69021.4792250197,68498.24557156584
2021-03-22,54103.94356512454,64524.36309576753,67832.53397251449
2021-03-23,54347.44862887336,64581.07320569021,67301.97234396532
2021-03-24,52295.92208865269,61839.92786983181,66664.43246229526
2021-03-25,51319.30449867274,60567.04316933356,65619.99724484014
2021-03-26,55058.52259271833,64869.95131874073,64866.72506336327
2021-03-29,57626.176953541435,67906.68692205322,64758.64640091953
2021-03-30,58776.67974136909,69009.69968434144,64756.96360939407
2021-03-31,58855.455415760356,69008.02147497902,65397.48623499571
2021-04-01,58716.17875188993,68968.02356196991,66024.19342874996
2021-04-06,58008.93216234953,68520.15067016726,66978.51097165502
2021-04-07,56010.00093415858,66562.28511015406,67834.97410605794
2021-04-08,58074.76252721877,68952.16554856685,68418.14756746168
2021-04-09,58116.80036587028,69089.2522749466,68587.08547501787
2021-04-12,59843.12039784084,71237.25052158973,68905.3070231962
2021-04-13,63631.40602951756,75695.9206127141,69860.7211857298
2021-04-14,63026.70862626945,75405.15420046877,70780.3112769439
2021-04-15,63224.16826547406,75679.32941377244,71803.05109745893
2021-04-16,61412.750765440775,73609.32306745731,72809.77080564512
2021-04-19,55686.67921487487,67018.9184351019,72533.59264657869
2021-04-20,56561.3490420926,68162.0817306258,72401.13971167573
2021-04-21,53923.201927633025,64745.58855450898,71473.7594306642
2021-04-22,51710.002078321646,62289.86850354625,69558.60912935449
2021-04-23,51229.06348900155,61812.98800582926,67616.87110154885
2021-04-26,54048.7475238507,65317.91138257357,66136.66852566329
2021-04-27,55138.20775088843,66651.06552927394,65142.631734494236
2021-04-28,54885.987241841285,66247.38660090244,65032.412901037176
2021-04-29,53601.028740556045,65012.687759420434,64582.499476579265
2021-04-30,57757.149216718026,69782.18768363871,65302.01363788351
2021-05-03,57208.999007537015,68902.51840467758,66246.6779094737
2021-05-04,53237.45977412949,63996.75039448106,66558.64396499538
2021-05-05,57502.298880264585,69031.50980575763,67089.15802545026
2021-05-06,56433.33124978601,68058.59748724193,67290.23401944569
2021-05-07,57363.208533869605,69174.29317099336,67708.36352945867
2021-05-10,56027.288071570045,68179.6068542936,68160.78054301198
2021-05-11,56749.686911051605,69064.36897074981,68058.23501259928
2021-05-12,49504.03617725971,59988.991039603316,66784.87396044581
2021-05-13,49902.26759250362,60286.92947850362,66254.8995438776
2021-05-14,49890.59561161027,60482.36905995513,65033.59372304868
2021-05-17,43671.666711900696,53030.50488826101,62886.7233517657
2021-05-18,42993.181138716915,52546.26598773981,60511.290897015184
2021-05-19,36759.91033161227,44891.20249696491,57184.37598882538
2021-05-20,40691.865101509014,49656.28298337145,54411.79227634275
2021-05-21,37328.644785308745,45496.152264334305,52341.386737018605
2021-05-24,38849.53360495075,47443.05043836586,50506.54687414178
2021-05-25,38372.10427418958,47059.5486818661,48589.00110584335
2021-05-26,39295.80572016091,48054.84081518478,47878.191952546746
2021-05-27,38554.13093767925,47028.328917781146,47089.91522826693
2021-05-28,35763.56564673959,43424.12140827121,46880.332215596405
2021-05-31,37272.78843590763,45476.529170650894,46283.2245280649
2021-06-01,36685.06845181184,44847.49618233998,46190.55937349428
2021-06-02,37573.700328814615,45787.31122069349,45954.02519954109
2021-06-03,39244.866974509605,47827.71938183485,46063.76387096519
2021-06-04,36852.26504079952,44653.88954993677,45577.91369021548
2021-06-07,33573.46144385185,40832.04380801262,44692.73010310569
2021-06-08,33407.06356977614,40696.48484070129,44303.06773630999
2021-06-09,37400.096168676726,45609.41727770127,44322.0517516029
2021-06-10,36690.323114697174,44666.79935983234,44296.23791981609
2021-06-11,37333.37691896241,45266.719514241915,44221.8676760373
2021-06-14,40873.9818750922,49506.56684711167,44461.703028219694
2021-06-15,40907.36237843977,49530.63436781488,45158.38085934515
2021-06-16,38923.610512360334,47190.98538518567,46066.80108465558
2021-06-17,38089.85951422869,45467.865302134785,46748.426864860354
2021-06-18,35779.21793898078,42570.11350379933,46314.2406114458
2021-06-21,31623.937442037986,37604.02401232737,45305.27270465938
2021-06-22,32530.813769029355,38692.149896883515,44366.04847360818
2021-06-23,33683.42842330969,40255.06530869741,43044.40539669185
2021-06-24,34660.06634955702,41370.255194831254,41878.63694340848
2021-06-25,31587.362684572647,37746.89840806431,40529.48166096257
2021-06-28,34495.23534548134,41083.82529646828,39903.19023158163
2021-06-29,35909.54506540364,42689.26717375185,39920.212184432006
2021-06-30,35047.23922681836,41650.13909715094,40498.22862512108
2021-07-01,33516.54526347933,39831.06239111884,40660.93041001184
2021-07-02,33698.749115710125,39842.03107950408,40601.92552012708
2021-07-05,33694.22371492725,39981.56586013267,40403.54132945585
2021-07-06,34222.14298956328,40512.17287104501,40798.58053845309
2021-07-07,33869.70692034103,40071.250257455475,40653.92696145127
2021-07-08,32884.7762251915,38928.99809538169,40116.745664541246
2021-07-09,33810.42781975512,40092.40530866562,39894.2122661862
2021-07-12,33087.1818330396,39214.92790851853,39806.19305438616
2021-07-13,32729.372735564528,38764.66906800262,39652.28419560023
2021-07-14,32838.40637757754,38788.7256131946,39481.87844603765
2021-07-15,31877.967088084974,37644.69133431955,39072.23822650545
2021-07-16,31395.101942953344,37052.49931307353,38640.98809159373
2021-07-19,30843.20915229,36290.11988858442,38264.0054906227
2021-07-20,29807.79473257486,35098.6782976069,37550.61591761431
2021-07-21,32145.21054684758,37841.34185574897,37354.389338647234
2021-07-22,32287.333380162017,38018.33505514078,37247.770193952674
2021-07-23,33648.05439739837,39593.66560941867,37362.76162198469
2021-07-26,37258.11169992395,43916.13626070037,38258.682325753376
2021-07-27,39478.99469474245,46624.69273449083,39626.13852881299
2021-07-28,40047.367972189335,47283.92736476395,41196.6824539815
2021-07-29,40032.51673091158,47530.60711461132,42972.67228498212
2021-07-30,42229.805800357586,50215.46207720521,44740.40374519017
2021-08-02,39175.32554102747,46563.79193806526,45961.183299893666
2021-08-03,38214.81668506366,45418.30963019816,46793.27530286215
2021-08-04,39711.576945807625,47101.90141542242,47248.38461067959
2021-08-05,40906.72936123486,48474.47429306331,47512.63911904709
2021-08-06,42861.677909854814,50606.78310816558,47987.332796675895
2021-08-09,46278.253536640885,54427.85398444334,48972.65377808047
2021-08-10,45570.76175014585,53418.04692352096,49430.16589898272
2021-08-11,45547.32441341331,53372.35474763772,50402.81772892164
2021-08-12,44427.68487627358,52153.65927625755,51365.01053550156
2021-08-13,47824.71047899698,56265.771878539956,52674.13488737548
2021-08-16,45944.57110085371,54085.94909992499,53475.77414549859
2021-08-17,44702.679927049634,52601.64347015931,53760.75419721198
2021-08-18,44723.54788930048,52429.41519062695,53475.26294095249
2021-08-19,46779.78198864239,54713.63301391614,53660.3466681518
2021-08-20,49339.77499641724,57584.45139831856,54262.07476110621
2021-08-23,49513.10577212436,58019.45734377533,55100.045913608745
2021-08-24,47661.18803327176,55954.23475106105,55055.540609683194
2021-08-25,48996.135100263746,57501.86415366953,55543.52847450384
2021-08-26,46856.62735920133,55136.19341357221,55905.60703784854
2021-08-27,49094.133344419366,57739.61022637161,56664.20632866921
2021-08-30,47002.93606319256,55468.16484817354,56771.99659070598
2021-08-31,47132.960237921856,55777.14514555672,56513.80998316857
2021-09-01,48844.679788416994,57719.75810597236,56470.99580633958
2021-09-02,49274.878632583706,58371.021228158665,56816.25101735351
2021-09-03,49998.478892060055,59358.1941406537,57081.441015494114
2021-09-06,52699.017881348496,62522.11481443185,58136.57264418835
2021-09-07,46888.73509387665,55610.0398213377,57832.34830061207
2021-09-08,46072.84462407352,54490.353336891756,57692.66094185753
2021-09-09,46406.77808193513,54936.343893394805,57572.54647726298
2021-09-10,44858.851039253714,53117.36551558032,56915.06182149269
2021-09-13,44956.04181226871,52958.21725485254,56141.804111020385
2021-09-14,47130.67957423161,55680.184848997225,55616.374212212315
2021-09-15,48148.33116063502,56930.58676433484,54817.584490769885
2021-09-16,47757.27115947085,56176.87806488556,54898.561382705295
2021-09-17,47300.90215676043,55720.46274066378,55074.291297529875
2021-09-20,43005.41397261596,50363.640303330554,54421.047927520696
2021-09-21,40713.372437437945,47789.35656706466,53659.90379201846
2021-09-22,43573.11521182879,51106.90683195399,53395.43087446152
2021-09-23,44896.434687317844,52596.17323619285,52954.85778691804
2021-09-24,42847.89800231547,50213.4516689135,51995.2670590007
2021-09-27,42169.21466737234,49329.54731789216,51017.07695228735
2021-09-28,41039.934214287874,47926.435175445375,49903.64444297044
2021-09-29,41524.60631143541,48392.77619534683,49622.092427544194
2021-09-30,43825.75735773819,50745.84444452505,50044.447838609965
2021-10-01,48167.68563488634,55874.51533646815,50725.53476782627
2021-10-04,49245.049341553145,57301.53941383124,51397.72993606033
2021-10-05,51496.0737935795,59745.74481531093,52759.48609983139
2021-10-06,55333.011327334956,63865.36167401,54836.03100784822
2021-10-07,53791.56011707855,62193.80180736622,56874.22624097978
2021-10-08,53964.72554080152,62431.79097815328,58879.79978138069
2021-10-11,57498.92317727315,66549.25368537594,61137.42967293082
2021-10-12,56003.87675319907,64712.47958832152,62399.995994624165
2021-10-13,57371.07835167782,66332.44079020989,63690.12476267825
2021-10-14,57355.09980830324,66543.38679759341,64661.2164744329
2021-10-15,61679.701554760875,71560.78974383356,65760.56334155054
2021-10-18,62017.586580697105,71965.20746824093,67156.47843596121
2021-10-19,64293.39210732613,74933.9485010886,68942.5009392377
2021-10-20,66038.33040206794,76756.35142632357,70400.65775937306
2021-10-21,62229.46848147923,72416.43247189738,71501.22245702676
2021-10-22,60679.01229752287,70569.6913020191,72106.5439587138
2021-10-25,63085.86122774842,73198.5247825565,73057.27795656565
2021-10-26,60337.9407105646,70100.61951753395,72848.68220995142
2021-10-27,58475.89923831332,67931.45214514858,72272.43144950966
2021-10-28,60608.59294762445,70263.54180418102,71605.23049280858
2021-10-29,62292.15271971656,72539.21184210994,71002.78198077808
2021-11-01,60954.44422250737,70573.05552081903,70739.4424163383
2021-11-02,63269.55170974233,73411.66084881403,71145.43806588043
